ADM2 Code;City;ADM1 Code;State;ADM0 Code;Country;Latitude;Longitude
18317;Chieti;1616;Abruzzi;122;Italy;42.3446529;14.1659738
18318;L'Aquila;1616;Abruzzi;122;Italy;42.3489203;13.3979672
18319;Pescara;1616;Abruzzi;122;Italy;42.469613;14.2059269
18320;Teramo;1616;Abruzzi;122;Italy;42.6612893;13.6983524
18321;Matera;1617;Basilicata;122;Italy;40.667029;16.6063265
18322;Potenza;1617;Basilicata;122;Italy;40.6384046;15.8022077
18323;Catanzaro;1618;Calabria;122;Italy;38.9076353;16.5960465
18324;Cosenza;1618;Calabria;122;Italy;39.3099931;16.2501929
18325;Crotone;1618;Calabria;122;Italy;39.0806223;17.127196
18326;Reggio Calabria;1618;Calabria;122;Italy;38.1035389;15.6397556
18327;Vibo Valentia;1618;Calabria;122;Italy;38.6759329;16.0998186
18328;Avellino;1619;Campania;122;Italy;40.9141958;14.7888764
18329;Benevento;1619;Campania;122;Italy;41.1295587;14.7824639
18330;Caserta;1619;Campania;122;Italy;41.0820827;14.334708
18332;Napoli;1619;Campania;122;Italy;40.8358846;14.2487679
18333;Salerno;1619;Campania;122;Italy;40.6803601;14.7594542
18334;Bologna;1620;Emilia-romagna;122;Italy;44.4938203;11.3426327
18335;Ferrara;1620;Emilia-romagna;122;Italy;44.8372737;11.6186451
18336;Forli';1620;Emilia-romagna;122;Italy;44.2227278;12.041273
18337;Modena;1620;Emilia-romagna;122;Italy;44.6458885;10.9255707
18338;Parma;1620;Emilia-romagna;122;Italy;44.8013678;10.3280833
18339;Piacenza;1620;Emilia-romagna;122;Italy;45.0534751;9.6947461
18340;Ravenna;1620;Emilia-romagna;122;Italy;44.4161414;12.2017617
18341;Reggio Emilia;1620;Emilia-romagna;122;Italy;44.6978389;10.6304971
18342;Rimini;1620;Emilia-romagna;122;Italy;44.0593886;12.5684371
18343;Gorizia;1621;Friuli-venezia Giulia;122;Italy;45.9441278;13.6252288
18344;Pordenone;1621;Friuli-venezia Giulia;122;Italy;45.9562503;12.6597197
18345;Trieste;1621;Friuli-venezia Giulia;122;Italy;45.6496485;13.7772781
18346;Udine;1621;Friuli-venezia Giulia;122;Italy;46.0634632;13.2358377
18347;Frosinone;1622;Lazio;122;Italy;41.6419807;13.3469287
18348;Latina;1622;Lazio;122;Italy;41.4672827;12.9037789
18349;Rieti;1622;Lazio;122;Italy;42.4025143;12.8604386
18350;Roma;1622;Lazio;122;Italy;41.8933203;12.4829321
18351;Viterbo;1622;Lazio;122;Italy;42.4168441;12.1051148
18352;Genova;1623;Liguria;122;Italy;44.40726;8.9338624
18353;Imperia;1623;Liguria;122;Italy;43.8862958;8.0267106
18354;La Spezia;1623;Liguria;122;Italy;44.11200215;9.840156327896342
18355;Savona;1623;Liguria;122;Italy;44.3080251;8.4810315
18356;Bergamo;1624;Lombardia;122;Italy;45.6944947;9.6698727
18357;Brescia;1624;Lombardia;122;Italy;45.5398022;10.2200214
18358;Como;1624;Lombardia;122;Italy;45.8115623;9.0830353
18359;Cremona;1624;Lombardia;122;Italy;45.1334796;10.0248716
18360;Lecco;1624;Lombardia;122;Italy;45.8553764;9.389605
18361;Lodi;1624;Lombardia;122;Italy;45.3138959;9.503263
18362;Mantova;1624;Lombardia;122;Italy;45.1566683;10.7917191
18363;Milano;1624;Lombardia;122;Italy;45.4641943;9.1896346
18364;Pavia;1624;Lombardia;122;Italy;45.1860043;9.1546375
18365;Sondrio;1624;Lombardia;122;Italy;46.1713553;9.8734274
18366;Varese;1624;Lombardia;122;Italy;45.817549;8.8263532
18367;Ancona;1625;Marche;122;Italy;43.6170137;13.5170982
18368;Ascoli Piceno;1625;Marche;122;Italy;42.8546185;13.5755038
18369;Macerata;1625;Marche;122;Italy;43.3007275;13.4535897
18370;Pesaro;1625;Marche;122;Italy;43.9098114;12.9131228
18371;Campobasso;1626;Molise;122;Italy;41.5597935;14.6602725
18372;Isernia;1626;Molise;122;Italy;41.600175;14.2383017
18373;Alessandria;1627;Piemonte;122;Italy;44.9129069;8.6153899
18374;Asti;1627;Piemonte;122;Italy;44.900542;8.2068876
18375;Biella;1627;Piemonte;122;Italy;45.5664109;8.0542758
18376;Cuneo;1627;Piemonte;122;Italy;44.389633;7.5479007
18377;Novara;1627;Piemonte;122;Italy;45.4464036;8.619655
18378;Torino;1627;Piemonte;122;Italy;45.0677551;7.6824892
18379;Verbania;1627;Piemonte;122;Italy;45.9344082;8.5580062
18380;Vercelli;1627;Piemonte;122;Italy;45.3251557;8.4227666
18381;Bari;1628;Puglia;122;Italy;41.1257843;16.8620293
18382;Brindisi;1628;Puglia;122;Italy;40.6395295;17.945526
18383;Foggia;1628;Puglia;122;Italy;41.4620482;15.5432595
18384;Lecce;1628;Puglia;122;Italy;40.3570373;18.1718482
18385;Taranto;1628;Puglia;122;Italy;40.4712427;17.2432278
18386;Cagliari;1629;Sardegna;122;Italy;39.2171994;9.113311
18387;Nuoro;1629;Sardegna;122;Italy;40.3210601;9.3297339
18388;Oristano;1629;Sardegna;122;Italy;39.9059497;8.5916112
18389;Sassari;1629;Sardegna;122;Italy;40.7232643;8.5610074
18390;Agrigento;1630;Sicilia;122;Italy;37.3122991;13.57465
18391;Caltanissetta;1630;Sicilia;122;Italy;37.4899412;14.0631618
18392;Catania;1630;Sicilia;122;Italy;37.5023612;15.0873718
18393;Enna;1630;Sicilia;122;Italy;37.5667573;14.2807473
18394;Messina;1630;Sicilia;122;Italy;38.1937571;15.5542082
18395;Palermo;1630;Sicilia;122;Italy;38.1112268;13.3524434
18396;Ragusa;1630;Sicilia;122;Italy;36.9219828;14.7213455
18397;Siracusa;1630;Sicilia;122;Italy;37.0646139;15.2907196
18398;Trapani;1630;Sicilia;122;Italy;38.0174321;12.515992
18399;Arezzo;1631;Toscana;122;Italy;43.4628957;11.8781675
18400;Firenze;1631;Toscana;122;Italy;43.7698712;11.2555757
18401;Grosseto;1631;Toscana;122;Italy;42.7597261;11.1137389
18402;Livorno;1631;Toscana;122;Italy;43.5507317;10.3091256
18403;Lucca;1631;Toscana;122;Italy;43.8428381;10.502876
18404;Massa-carrara;1631;Toscana;122;Italy;;
18405;Pisa;1631;Toscana;122;Italy;43.7159395;10.4018624
18406;Pistoia;1631;Toscana;122;Italy;43.9336213;10.9174238
18407;Prato;1631;Toscana;122;Italy;43.880598;11.0969262
18408;Siena;1631;Toscana;122;Italy;43.3185536;11.3316533
18409;Bolzano;1632;Trentino-alto Adige;122;Italy;46.4981125;11.3547801
18410;Trento;1632;Trentino-alto Adige;122;Italy;46.0664228;11.1257601
18411;Perugia;1633;Umbria;122;Italy;43.1119613;12.3890104
18412;Terni;1633;Umbria;122;Italy;42.5641417;12.6405466
18413;Aosta;1634;Valle D'aosta;122;Italy;45.7370885;7.3196649
18414;Belluno;1635;Veneto;122;Italy;46.1375185;12.2181711
18415;Padova;1635;Veneto;122;Italy;45.4077172;11.8734455
18416;Rovigo;1635;Veneto;122;Italy;45.0698166;11.78882
18417;Treviso;1635;Veneto;122;Italy;45.6658505;12.2455414
18418;Venezia;1635;Veneto;122;Italy;45.4371908;12.3345898
18419;Verona;1635;Veneto;122;Italy;45.4384958;10.9924122
18420;Vicenza;1635;Veneto;122;Italy;45.5488306;11.5478825
